InvTransactionType_key,efmnhtransactions_key,InvTransactionType
1,2,Outgoing Gift for Determination
2,2,Outgoing Exchange
3,7,Outgoing Gift for Determination
4,7,Outgoing Gift
5,7,Outgoing Gift for Determination
6,8,Outgoing Gift for Determination
7,9,Outgoing Exchange
8,12,Outgoing Exchange
9,13,Gift
10,14,Gift
11,15,Outgoing Gift
12,15,Outgoing Gift for Determination
13,16,Outgoing Exchange
14,17,Outgoing Gift for Determination
15,17,Outgoing Gift
