InvCount_key,efmnhtransactions_key,InvCount
1,10,55
2,11,1
3,12,3
4,13,1
5,14,1
6,15,1
7,16,3
8,17,55
9,18,3
10,19,1
11,20,55
12,21,33
13,22,5
14,23,1
15,24,55
16,25,5
