irn,DarGlobalUniqueIdentifier,AdmDateInserted,AdmDateModified,DarImageURL,DarIndividualCount,DarBasisOfRecord,DarLatitude,DarLongitude,DarCountry,DarContinent,DarContinentOcean,DarWaterBody,DarCollectionCode,DarEarliestAge,DarEarliestEon,DarEarliestEpoch,DarEarliestEra,DarEarliestPeriod,AttPeriod_tab,DesEthnicGroupSubgroup_tab,DesMaterials_tab,DarOrder,DarScientificName,ClaRank,ComName_tab,DarRelatedInformation,CatProject_tab,DarYearCollected,DarMonthCollected,EcbNameOfObject,CatLegalStatus,DarCatalogNumber,DarCollector,RecordType,TaxIDRank
1,573b7d18-dd2f-4be1-8e0e-9a0b2b5a1f9b,2009-01-22,2015-03-06,http://fm-digital-assets.fieldmuseum.org/211/020/V0075926F.jpg,,Specimen,17,-96.5,Mexico,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Acrostichum pringlei Davenp.,Species,,vTypes,vTypes,1894,NA,,NA,120151,C. G. Pringle,Catalog,Species
2,6d9996b1-4691-4c90-a538-e3fb02ed3004,2004-11-13,2015-03-06,http://fm-digital-assets.fieldmuseum.org/14/337/L020201.jpg|http://fm-digital-assets.fieldmuseum.org/14/338/L020202.jpg|http://fm-digital-assets.fieldmuseum.org/14/339/L020203.jpg|http://fm-digital-assets.fieldmuseum.org/14/340/L020204.jpg|http://fm-digit,,Specimen,NA,NA,,,,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,Porellales,"Frullania congesta Gottsche, Lindenb. & Nees",Species,,,,NA,NA,,NA,NA,M. von Konrat,Catalog,Species
3,372bf4e0-2f2d-4b7d-9a15-1d657afc3c05,2004-11-13,2015-03-06,,,Specimen,-18.38,-64.13,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
4,6e3cf7aa-7bc5-4b20-bdec-c213b3cd9db1,2004-11-13,2015-03-06,,,Specimen,-16.58,-67.28,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
5,e954ce64-de4b-493d-be71-f30712644482,2004-11-13,2015-03-06,,,Specimen,-16.23,-67.72,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
6,47b5c914-acfa-4940-ad4e-04184142a409,2004-11-13,2015-03-06,,,Specimen,-17.87,-60.83,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
7,1ee9b3b6-1ac3-43e8-98f2-4c6c35ae925a,2004-11-13,2015-03-06,,,Specimen,-18.3,-59.73,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
8,00eee565-7e48-460b-9bc4-f8d625c01fe5,2004-11-13,2015-03-06,,,Specimen,-18.3,-59.73,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
9,2e880e70-8e25-4fdf-b354-269726bca99a,2004-11-13,2015-03-06,,,Specimen,-17.82,-64.72,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
10,639366c3-82ff-41e6-8b3f-fc4d353b4f20,2004-11-13,2015-03-06,,,Specimen,NA,NA,,,,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,Jungermanniales,Balantiopsis montana (Colenso) J. J. Engel & G. L. Merr.,Species,,,,NA,NA,,NA,NA,NA,Catalog,Species
211488,60034aec-62a9-4ef8-8062-c6286fab3492,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/416/3953.jpg,,Specimen,-16.7261,-64.435,BOLIVIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa montana Decne.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,T. C. J. Herzog,Catalog,Species
211489,58974ba3-52c9-4566-a130-88cd66d46f42,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa montana Decne.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,G. Gardner,Catalog,Species
211490,b1dc939b-a308-45ee-bc07-19affad14115,2004-11-14,2016-03-09,http://fm-digital-assets.fieldmuseum.org/1326/050/31854.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa myrtilloides Fenzl ex E. Fourn.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,H. W. Schott,Catalog,Species
211491,d3b56eb9-a1cb-4bfe-818b-c9f7ba4b67b0,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa niruri Decne.,Species,,Negatives/Types,Negatives/Types,1833,NA,,NA,NA,C. Gaudichaud-Beaupré,Catalog,Species
211492,b3bf63f1-b90d-4fcc-aefd-72ee2896eb42,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/282/436/20185.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa obcordata Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211493,845f79b9-e270-48d1-a8aa-d9811260c584,2004-11-14,2016-01-07,http://fm-digital-assets.fieldmuseum.org/1257/340/31374.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria filipendula Seub.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,NA,Catalog,Species
211494,27d1a515-e403-49b1-a3a5-cab9250ca152,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/417/3954.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa odorata Schltr.,Species,,Berlin Negatives,Berlin Negatives,1891,4,,NA,NA,A. F. M. Glaziou,Catalog,Species
211495,00a81952-296a-4e40-8c06-76c3441ed3c7,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/418/3955.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa passerinoides Mart.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,F. Sellow,Catalog,Species
211496,6e5b1573-7a92-46fd-b133-7d4fbfbd8521,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/282/437/20186.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa passerinoides Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211497,59a5162c-ebfa-4c60-9c57-23b64b5b4490,2004-11-14,2015-03-06,,,Specimen,5,-59,BRITISH GUIANA [Guyana],South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa pauciflora Decne.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,Schomburgk,Catalog,Species
211498,89f5b976-4682-461f-a43e-dec55beda6c8,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa praecincta E. Fourn.,Species,,Negatives/Types,Negatives/Types,1876,2,,NA,NA,A. F. M. Glaziou,Catalog,Species
211499,e7a4b891-0669-4083-962c-1dc6b95cc6b7,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/419/3956.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa ramosa E. Fourn.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,J. S. Blanchet,Catalog,Species
211500,09d074f1-fce0-4844-b354-660568b3bb01,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/420/3957.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa reflexa E. Fourn.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,L. Riedel,Catalog,Species
211501,f7b3572d-9009-417a-917a-fe56391468d6,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa refractifolia K. Schum.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. F. M. Glaziou,Catalog,Species
211502,ced7fac1-0882-4805-82d2-6ffd3054b1f1,2004-11-14,2017-03-09,http://fm-digital-assets.fieldmuseum.org/25/421/3958.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa roraimensis Schltr.,Species,,Berlin Negatives,Berlin Negatives,1910,1,,NA,NA,E. H. G. Ule,Catalog,Species
211503,dd99164b-3425-4d30-9b1d-6c9bb47549fc,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/422/3959.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa rosea Silveira,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,A. A. da Silveira,Catalog,Species
211504,9eceb8b2-f529-4b9e-95a9-d1146798d31c,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/26/467/10040.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria flava Phil.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,R. A. Philippi,Catalog,Species
211505,6ed786c7-88fb-4a82-a146-65a23fc3de69,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/423/3960.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa saxatilis Silveira,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,A. A. da Silveira,Catalog,Species
211506,d0e69381-f79b-445a-b83b-7ebda608ad8b,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/424/3961.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa subtrivialis Griseb.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,W. Lechler,Catalog,Species
211507,adf5fe92-53c0-4e1a-a34f-50f823c95883,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/36/398/3962.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa subulata Silveira,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,A. A. da Silveira,Catalog,Species
211508,52096cdc-3412-40fd-a1d9-131a5c58c2a5,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/425/3963.jpg,,Specimen,-16.7261,-64.435,BOLIVIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa tassadioides Kuntze,Species,,Berlin Negatives,Berlin Negatives,1892,5,,NA,NA,O. Kuntze,Catalog,Species
211509,4de54d58-c324-40da-8e83-7ec6a415d2cf,2004-11-14,2015-03-06,,,Specimen,5,-59,BRITISH GUIANA [Guyana],South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa taxifolia Decne.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,Schomburgk,Catalog,Species
211510,ef898e21-f3cd-4aa9-8d6d-56f7db61f588,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/328/882/7611.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa umbellata Decne.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,NA,Catalog,Species
211511,9ade653a-862a-40a0-8375-03b4dc988ab6,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/282/438/20187.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa venosa Decne.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211512,7d04db4f-fbfb-4041-bcbd-418e05142e8b,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa warmingii E. Fourn.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,J. E. B. Warming,Catalog,Species
211513,6420577f-8f46-4233-b5b9-5b5146f60e75,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/426/3964.jpg,,Specimen,7.0758,-65.9119,VENEZUELA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditassa xeroneura Schltr.,Species,,Berlin Negatives,Berlin Negatives,1891,8,,NA,NA,H. F. A. von Eggers,Catalog,Species
211514,f3edf6fb-4d1d-426a-8f99-976064abf9d5,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/036/5225.jpg,,Specimen,-16.7261,-64.435,BOLIVIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis breviramea (Müll. Arg.) Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,T. C. J. Herzog,Catalog,Species
211515,c9258a59-f68a-4859-8da6-37b4fc9a72be,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/278/272/18959.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria foliosa Mart.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211516,6714c1b8-49fe-4de8-8a06-6a7056ab6db9,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/037/5226.jpg,,Specimen,-35.3869,-64.9208,ARGENTINA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis catamarcensis (Griseb.) Pax,Species,,Berlin Negatives,Berlin Negatives,1872,11,,NA,NA,P. G. Lorentz & G. H. E. W. Hieronymus,Catalog,Species
211517,b49dd2f4-ace4-4a89-889d-237de8db3074,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/280/247/19491.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis cuneifolia Pax & K. Hoffm.,Species,,Negatives/Types,Negatives/Types,1917,2,,NA,NA,P. von Luetzelburg,Catalog,Species
211518,655d1d9d-db27-412f-ba4a-b431a03ff8bd,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/280/248/19492.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis desertorum (Müll. Arg.) Pax & K. Hoffm.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211519,660c5a04-227c-4cb8-8da6-fd38bdd36fe3,2004-11-14,2016-04-29,http://fm-digital-assets.fieldmuseum.org/1414/389/32525.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis fasciculata A. Juss.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,E. R. von Friedrichsthal,Catalog,Species
211520,97e88508-a04c-4dda-acb0-b0c24745d13e,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/038/5227.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis gardneri (Müll. Arg.) Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,G. Gardner,Catalog,Species
211521,07b84fd7-162b-4d11-bfd3-6d081273ed03,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/280/249/19493.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis heterantha Zucc.,Species,,Negatives/Types,Negatives/Types,1807,7,,NA,NA,W. F. Karwinsky von Karwin,Catalog,Species
211522,55d75192-6a1e-44fd-a0b9-e115f0028152,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/039/5228.jpg,,Specimen,-35.3869,-64.9208,ARGENTINA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis jablonszkyana Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,F. Schickendantz,Catalog,Species
211523,f2ce8058-f351-4ba3-b5b8-405303a18aef,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/041/5230.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis malpighiacea (Ule) Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,1907,1,,NA,NA,E. H. G. Ule,Catalog,Species
211524,8841ab4a-9168-4c19-bfbc-b0772a0250d3,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/040/5229.jpg,,Specimen,-1.4628,-78.1869,ECUADOR,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis micrantha Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,1897,1,,NA,NA,H. F. A. von Eggers,Catalog,Species
211525,ed979955-b059-4fe0-9a05-0217f4832587,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/042/5231.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis montevidensis (Didr.) Pax,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,F. Sellow,Catalog,Species
211526,0e53ca79-5520-407c-bbd2-7b96286975be,2004-11-14,2017-03-24,http://fm-digital-assets.fieldmuseum.org/1541/806/25413.jpg,,Specimen,-23.2025,-58.1689,PARAGUAY,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria hassleriana Baker,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,É. Hassler,Catalog,Species
211527,d2420507-6dcb-480f-a88b-876c9d1def3a,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis montevidensis (Didr.) Pax,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,NA,Catalog,Species
211528,4d3ae58f-e357-48a8-84a9-cf75a004f3ef,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/043/5232.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis purpurascens (S. Moore) Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,1891,NA,,NA,NA,S. Moore,Catalog,Species
211529,6fef220e-22bb-410b-81ab-b2ab2449ac83,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/044/5233.jpg,,Specimen,-32.8667,-55.7933,URUGUAY,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis rhizantha Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,J. Arechavaleta,Catalog,Species
211530,d82dc745-619a-44ac-9e37-34554c8b1f9b,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/045/5234.jpg,,Specimen,-32.8667,-55.7933,URUGUAY,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis rosularis Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,J. Arechavaleta,Catalog,Species
211531,6607bb43-cae1-4bd5-b918-fd9e5a9fa191,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/046/5235.jpg,,Specimen,-23.2025,-58.1689,PARAGUAY,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis salina Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,1881,12,,NA,NA,B. Balansa,Catalog,Species
211532,93143f22-ff6b-4cdd-b841-03c9f0cd58ad,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/34/047/5236.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis sellowiana Pax & K. Hoffm.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,F. Sellow,Catalog,Species
211533,a48f4c61-89ac-4065-ad23-1f05e21cd654,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/315/845/7117.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ditaxis tricuspidata Müll. Arg.,Species,,Negatives/Types,Negatives/Types,1778,NA,,NA,NA,J. Dombey,Catalog,Species
211534,ed5ea4ac-a7e7-4757-a341-710ad769a5c6,2004-11-14,2015-03-06,,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dodonaea virletii E. Fourn.,Species,,Negatives/Types,Negatives/Types,1851,NA,,NA,NA,V. d'Aoust,Catalog,Species
211535,7888009d-d67d-440b-bd93-7f5c1a22a504,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/288/516/20427.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolia lycioides Werderm.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,E. Werdermann,Catalog,Species
211536,079cb87b-47bd-4c98-9e9f-1d253b67e9b0,2004-11-14,2015-08-12,http://fm-digital-assets.fieldmuseum.org/413/598/23245.jpg,,Specimen,-30.6,-71.35,Chile,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolia salsoloides Lindl.,Species,,Negatives/Types,Negatives/Types,1825,NA,,NA,NA,J. Macrae,Catalog,Species
211537,e919f5fd-7a4c-4cfa-97cc-5f544fcd6fc0,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/26/468/10041.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alstroemeria isabellina Herb.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,F. Sellow,Catalog,Species
211538,17056963-8bf3-4534-a64e-035d313dc391,2004-11-14,2017-02-28,http://fm-digital-assets.fieldmuseum.org/33/707/18431.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichandra cynanchoides Cham.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,F. Sellow,Catalog,Species
211539,62b06a91-27cd-4f3c-9e59-96f637880e26,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/22/360/953.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichodelphys chlorocrater K. Schum. & K. Krause,Species,,Berlin Negatives,Berlin Negatives,1903,1,,NA,NA,E. H. G. Ule,Catalog,Species
211540,9db48d78-a396-4df4-9fc0-90de6036c0c3,2004-11-14,2015-03-06,,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichogyne genistoides Phil.,Species,,Negatives/Types,Negatives/Types,1856,NA,,NA,NA,P. Germain,Catalog,Species
211541,17640b12-5989-4303-ad44-73cc65846a60,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/30/752/14799.jpg,,Specimen,-35.8156,-70.8906,CHILE,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichogyne parvifolia Phil.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,R. A. Philippi,Catalog,Species
211542,d8fb882e-80c7-4079-ac82-dae84f6eee02,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichogyne rigida Wedd.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,H. A. Weddell,Catalog,Species
211543,0cbdda09-eeee-4b75-b303-a69d51ce1105,2004-11-14,2015-03-06,,,Specimen,-16.7261,-64.435,BOLIVIA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichogyne rupestris Wedd.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. C. V. M. D. d'Orbigny,Catalog,Species
211544,40a8fcee-ef05-4a72-9cdc-c86cfcb2aefb,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichogyne staehelinoides DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,T. P. X. Haenke,Catalog,Species
211545,40843aa1-ae16-4677-8293-ab01852ccd8b,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/231/777/6331.jpg,,Specimen,-23.2025,-58.1689,PARAGUAY,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichopsis paraguariensis Hassl.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,K. Fiebrig,Catalog,Species
211546,20583407-0908-45cd-b167-f5b80635dd29,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/372/359/30613.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Dolichos palmatilobus Moc. & Sessé ex DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
