irn,DarGlobalUniqueIdentifier,AdmDateInserted,AdmDateModified,DarImageURL,DarIndividualCount,DarBasisOfRecord,DarLatitude,DarLongitude,DarCountry,DarContinent,DarContinentOcean,DarWaterBody,DarCollectionCode,DarEarliestAge,DarEarliestEon,DarEarliestEpoch,DarEarliestEra,DarEarliestPeriod,AttPeriod_tab,DesEthnicGroupSubgroup_tab,DesMaterials_tab,DarOrder,DarScientificName,ClaRank,ComName_tab,DarRelatedInformation,CatProject_tab,DarYearCollected,DarMonthCollected,EcbNameOfObject,CatLegalStatus,DarCatalogNumber,DarCollector,RecordType,TaxIDRank
211929,91b2ac45-2a1b-40a3-8877-3e6608b5eb66,2004-11-14,2015-10-24,http://fm-digital-assets.fieldmuseum.org/1220/830/33880.jpg,,Specimen,21.5,-80,CUBA,Caribbean,Caribbean,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites rosea A. DC.,Species,,Negatives/Types,Negatives/Types,1825,NA,,NA,NA,R. de la Sagra,Catalog,Species
211930,68432f8a-8422-4aa9-9393-b7b78448683c,2004-11-14,2017-02-17,,,Specimen,3.8558,-52.9708,FRENCH GUIANA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites rugellosus Rich.,Species,,Negatives/Types,Negatives/Types,1792,NA,,NA,NA,J. B. Leblond,Catalog,Species
211931,c27fb0a4-d40a-4a44-b7d4-bae1e85b0967,2004-11-14,2015-10-24,http://fm-digital-assets.fieldmuseum.org/1220/831/33881.jpg,,Specimen,21.5,-80,CUBA,Caribbean,Caribbean,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites sagraei A. DC.,Species,,Negatives/Types,Negatives/Types,1829,NA,,NA,NA,R. de la Sagra,Catalog,Species
211932,84cd8ff2-beb7-4549-831b-fa146eb74201,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites sanctae-crucis S. Moore,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,S. Moore,Catalog,Species
211933,17efb025-0e15-46ff-9abe-cab1ec65d55f,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/950/4496.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites scabra Roem. & Schult.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,J. C. von Hoffmannsegg,Catalog,Species
211934,5694ab03-94ab-45d5-ba23-6602f42d00d2,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/376/763/30762.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites secundiflora A. DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
211935,c7379681-25c8-4a58-b73c-2206a7b5deb4,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/282/449/20152.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites spectabilis Stadelm.,Species,,Negatives/Types,Negatives/Types,1820,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211936,4ad07189-8ad2-409b-9778-eb23fdaace8f,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites subsagittata Ruíz & Pav.,Species,,Negatives/Types,Negatives/Types,1778,NA,,NA,NA,H. Ruíz L. & J. A. Pavón,Catalog,Species
211937,2949a1a7-29c5-4817-b661-7a4ee83abee8,2004-11-14,2015-10-24,http://fm-digital-assets.fieldmuseum.org/1221/073/34141.jpg,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites subsessilis DC.,Species,,Negatives/Types,Negatives/Types,1778,NA,,NA,NA,H. Ruíz L. & J. A. Pavón,Catalog,Species
211938,63084635-00e6-48d8-b4ae-0380fb977fe1,2004-11-14,2015-03-06,,,Specimen,-9.1839,-74.14,PERU,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Alternanthera gomphrenoides Kunth,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,F. W. H. A. von Humboldt & A. J. A. Bonpland,Catalog,Species
211939,db9c60c2-8d98-49b3-9139-4afb5db8eff4,2004-11-14,2015-03-06,,,Specimen,10.5,-61.25,Trinidad and Tobago,Caribbean,Caribbean,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites subspicata Vahl,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,J. B. von Rohr,Catalog,Species
211940,e7eb86e8-27f0-454f-96ab-8cc3cf21675e,2004-11-14,2015-03-06,,,Specimen,3.8558,-52.9708,FRENCH GUIANA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites tomentosa var. laticordata A. DC.,Variety,,Negatives/Types,Negatives/Types,1819,NA,,NA,NA,G. S. Perrottet,Catalog,Species
211941,a4231136-bbe9-4808-a122-c52498c19bb1,2004-11-14,2015-03-06,,,Specimen,4.7364,-58.7017,GUYANA,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites tubulosus Benth.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,Schomburgk,Catalog,Species
211942,4d444f18-8d3a-4e09-9dd1-65f8f1bfe4a5,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/376/764/30758.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites uniflora Sessé & Moc.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
211943,28b4283f-39c0-43bc-8d7a-cff78e60727e,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/282/450/20153.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites varia Stadelm.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,C. F. P. Martius,Catalog,Species
211944,38966bac-9d06-430f-a5e8-5dcf11e93e9a,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/328/833/7562.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites vauthieri A. DC.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A.-C. Vauthier,Catalog,Species
211945,2fba4fcb-b1a2-408c-84eb-e37cf8f4db83,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/25/951/4497.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites versicolor Stadelm.,Species,,Berlin Negatives,Berlin Negatives,NA,NA,,NA,NA,F. W. H. A. von Humboldt,Catalog,Species
211946,eeedeee2-44da-4ca9-a6ba-a40ab52625ab,2004-11-14,2015-03-06,,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echites virescens (A. St.-Hil.) Müll. Arg.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,A. Saint-Hilaire,Catalog,Species
211947,360aa277-cb22-41d4-bdd8-7b8b38ee4f3a,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/383/597/30792.jpg,,Specimen,23,-102,MEXICO,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Echium longiflorum Sessé & Moc.,Species,,Negatives/Types,Negatives/Types,NA,NA,,NA,NA,M. Sessé & J. M. Mociño,Catalog,Species
211948,25995acb-d3bb-418b-b55b-4015237fec61,2004-11-14,2015-03-06,http://fm-digital-assets.fieldmuseum.org/36/239/2959.jpg,,Specimen,-10.8339,-52.8731,BRAZIL,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,Ectozoma ulei Dammer,Species,,Berlin Negatives,Berlin Negatives,1901,8,,NA,NA,E. H. G. Ule,Catalog,Species
