Collections,Research,Collections,Volunteers
Amphibians and Reptiles,0,2,1
Anthropology,7,4,
Birds,2,3,20
Botany,2,4,
Economic Geology,,,
Fishes,0,3,6
Fossil Birds,,,
Fossil Fishes,1,,
Fossil Herps,1,,
Fossil Invertebrates,1,1,
Fossil Mammals,0.5,,
Fossil Synapsids,0.5,,
Fossil Vertebrates,1,1,
Gems,,,
Insects,2,3,20
Invertebrate Zoology,2,3,10
Library/Archives,0,2,
Mammals,2,3,10
Media,,1,
Meteorites,0.33,0.33,
Minerals,0.33,0.33,
Paleobotany,0,0,
Rocks,0.33,0.33,
